division,year,sector,gender,child_labor_rate
Dhaka,2022,Agriculture,Boys,4.2
Dhaka,2022,Agriculture,Girls,1.1
Dhaka,2022,Industry,Boys,5.1
Dhaka,2022,Industry,Girls,1.4
Dhaka,2022,Services,Boys,5.8
Dhaka,2022,Services,Girls,1.6
Chittagong,2022,Agriculture,Boys,6.5
Chittagong,2022,Agriculture,Girls,1.8
Chittagong,2022,Industry,Boys,7.2
Chittagong,2022,Industry,Girls,1.9
Chittagong,2022,Services,Boys,7.9
Chittagong,2022,Services,Girls,2.1
Rajshahi,2022,Agriculture,Boys,3.8
Rajshahi,2022,Agriculture,Girls,1.0
Rajshahi,2022,Industry,Boys,2.9
Rajshahi,2022,Industry,Girls,0.8
Rajshahi,2022,Services,Boys,3.4
Rajshahi,2022,Services,Girls,0.9
Sylhet,2022,Agriculture,Boys,4.1
Sylhet,2022,Agriculture,Girls,1.2
Sylhet,2022,Industry,Boys,3.2
Sylhet,2022,Industry,Girls,0.9
Sylhet,2022,Services,Boys,3.7
Sylhet,2022,Services,Girls,1.1
